Safari Shoes,SafariShoesArmorItem;BootsArmorItem;ArmorItem;Item;
Snow Boots,SnowBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Seashell,ObjectItem;PlaceableItem;Item;
Pharaoh's Robe,PharaohsRobeArmorItem;ChestArmorItem;ArmorItem;Item;
Angler Spawn Item,MobSpawnItem;PlaceableItem;Item;
Wood Door,ObjectItem;PlaceableItem;Item;
Swamp Stone Path,TileItem;PlaceableItem;Item;
Purple Flower Patch,ObjectItem;PlaceableItem;Item;
Crypt Path,TileItem;PlaceableItem;Item;
Bluebird Spawn Item,MobSpawnItem;PlaceableItem;Item;
Ancient Pillar,ObjectItem;PlaceableItem;Item;
Ivy Helmet,IvyHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Maple Clock,ObjectItem;PlaceableItem;Item;
Frost Banner,ObjectItem;PlaceableItem;Item;
Frozen Wave,SimpleTrinketItem;TrinketItem;Item;
Will-o'-Wisp Lantern,SimpleTrinketItem;TrinketItem;Item;
Swamp Eel,SwampEelQuestItem;QuestFishItem;QuestItem;Item;
Crypt Rock Upgrade Shard,ObjectItem;PlaceableItem;Item;
Genie Lamp,GenieLampProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Blood Grimoire,BloodGrimoireProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Boots of Generosity,SupporterBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Single Deep Snow Rock,ObjectItem;PlaceableItem;Item;
IceStar Vinyl,VinylItem;Item;
Exotic Shoes,ExoticShoesArmorItem;BootsArmorItem;ArmorItem;Item;
Phantom Spawn Item,MobSpawnItem;PlaceableItem;Item;
Eraser,EraserToolItem;ToolDamageItem;ToolItem;Item;
Gold Shovel,CustomShovelToolItem;ShovelToolItem;ToolDamageItem;ToolItem;Item;
Polar Night Vinyl,VinylItem;Item;
Sapphire Cluster,ObjectItem;PlaceableItem;Item;
Mining Potion,MiningPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Mysterious Portal,EvilsProtectorSpawnItem;ConsumableItem;PlaceableItem;Item;
Large Frost Banner,ObjectItem;PlaceableItem;Item;
Crystal Golem Spawn Item,MobSpawnItem;PlaceableItem;Item;
Boulder Staff,BoulderStaffProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Bloodplate Cowl,BloodplateCowlArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Ancestors Hat,AncestorsHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Dryad Tree,ObjectItem;PlaceableItem;Item;
Work in progress,WorkInProgressItem;Item;
Cave Water Grass,ObjectItem;PlaceableItem;Item;
Void Flasks,ObjectItem;PlaceableItem;Item;
Mushroom,SeedObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Spirit Urn,CursedCroneSpawnItem;ConsumableItem;PlaceableItem;Item;
Brazier,ObjectItem;PlaceableItem;Item;
Unlabeled Potion,UnlabeledPotionProjectileToolItem;FlaskProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Oak Sapling,ObjectItem;PlaceableItem;Item;
Dungeon Floor,TileItem;PlaceableItem;Item;
Lucky Cape,SimpleTrinketItem;TrinketItem;Item;
Dawn Door,ObjectItem;PlaceableItem;Item;
Pine Door,ObjectItem;PlaceableItem;Item;
Old Plate,ObjectItem;PlaceableItem;Item;
Potato,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Slime Sample,SlimeSampleQuestItem;QuestItem;Item;
Quartz Shovel,CustomShovelToolItem;ShovelToolItem;ToolDamageItem;ToolItem;Item;
Birch Dinner Table,ObjectItem;PlaceableItem;Item;
Deep Rock Life Quartz,ObjectItem;PlaceableItem;Item;
Snow Stone Caveling Painting,ObjectItem;PlaceableItem;Item;
Swamp Tome,SwampTomeProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Ancient Skeleton Spawn Item,MobSpawnItem;PlaceableItem;Item;
Puddle Cobble,TileItem;PlaceableItem;Item;
Rock,ObjectItem;PlaceableItem;Item;
Countdown Gate,LogicGateItem;PlaceableItem;Item;
Fire Stone,SimpleTrinketItem;TrinketItem;Item;
Tungsten Landscaping Station,ObjectItem;PlaceableItem;Item;
Grass,ObjectItem;PlaceableItem;Item;
Void Cube,ObjectItem;PlaceableItem;Item;
Cave Ladder,ObjectItem;PlaceableItem;Item;
Ascended Wall,ObjectItem;PlaceableItem;Item;
Cave Mole Spawn Item,MobSpawnItem;PlaceableItem;Item;
Void Boots,VoidBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Palm Candelabra,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Slime Canister,SlimeCanisterSummonToolItem;SummonToolItem;ToolItem;Item;
Dungeon Exit,ObjectItem;PlaceableItem;Item;
Runic Axe,CustomAxeToolItem;AxeToolItem;ToolDamageItem;ToolItem;Item;
Tungsten Carpenters Bench,ObjectItem;PlaceableItem;Item;
Widow Chestplate,WidowChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Gravestone,ObjectItem;PlaceableItem;Item;
Fuzzy Dice,SimpleTrinketItem;TrinketItem;Item;
Ravenwing Greatsword,RavenwingGreatswordToolItem;GreatswordToolItem;SwordToolItem;ToolItem;Item;
Caustic Executioner,CausticExecutionerToolItem;SwordToolItem;ToolItem;Item;
Runebound Scepter,RuneboundScepterProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Nightsteel Boots,NightsteelBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Sandstone Copper Ore,ObjectItem;PlaceableItem;Item;
Range Foci,SimpleTrinketItem;TrinketItem;Item;
Bird Spawn Item,MobSpawnItem;PlaceableItem;Item;
Dusk Helmet,DuskHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Greater Speed Potion,GreaterSpeedPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Alchemist Spawn Item,MobSpawnItem;PlaceableItem;Item;
Mosquito Spawn Item,MobSpawnItem;PlaceableItem;Item;
Guardian Bracelet,SimpleTrinketItem;TrinketItem;Item;
Cheese Burger,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Bandit Fence Gate,ObjectItem;PlaceableItem;Item;
Basalt Rock Copper Ore,ObjectItem;PlaceableItem;Item;
Treasure Potion,TreasurePotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Wall Window (Basalt Wall),ObjectItem;PlaceableItem;Item;
Fallen Dragon Spawn Item,MobSpawnItem;PlaceableItem;Item;
Six Shooter,SixShooterProjectileToolItem;GunProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Runebound Leather Chest,RuneboundLeatherChestArmorItem;ChestArmorItem;ArmorItem;Item;
Demonic Workstation,ObjectItem;PlaceableItem;Item;
Stone Saw Trap,ObjectItem;PlaceableItem;Item;
Deep Stone Pressure Plate,ObjectItem;PlaceableItem;Item;
Spider Stone,StonePlaceableItem;PlaceableItem;Item;
Decaying Leaf,PestWardenSpawnItem;ConsumableItem;PlaceableItem;Item;
The Cursed Triumph Vinyl,VinylItem;Item;
Raven Statue,ObjectItem;PlaceableItem;Item;
Binoculars,BinocularsItem;Item;
Ascended Madness Vinyl,VinylItem;Item;
Local Village Map,WorldPresetMapItem;MapItem;PlaceableItem;Item;
Stone Flame Trap,ObjectItem;PlaceableItem;Item;
Fallen Alchemy Table,ObjectItem;PlaceableItem;Item;
Greater Health Regen Potion,GreaterHealthRegenPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Lab Apron,LabApronArmorItem;ChestArmorItem;ArmorItem;Item;
Fake Fangs,FakeFangsQuestItem;QuestItem;Item;
Dryad Modular Table,ObjectItem;PlaceableItem;Item;
Invasion of the Crypt Vinyl,VinylItem;Item;
Miners Bouquet,MinersBouquetTrinketItem;TrinketItem;Item;
WORK_ATTACK,WorkSpriteAttackItem;Item;
Wild Chicken Spawn Item,MobSpawnItem;PlaceableItem;Item;
Apple Painting,ObjectItem;PlaceableItem;Item;
Stone Tiled Floor,TileItem;PlaceableItem;Item;
Locked Obsidian Door,ObjectItem;PlaceableItem;Item;
Hexed Blade,HexedBladeGreatswordToolItem;NecroticGreatswordToolItem;GreatswordToolItem;SwordToolItem;ToolItem;Item;
Frenzy Orb,SimpleTrinketItem;TrinketItem;Item;
Magic Stilts,PetFollowerPlaceableItem;FollowerSummonPlaceableItem;PlaceableItem;Item;
Glaciers Embrace Vinyl,VinylItem;Item;
Tracker Boot,SimpleTrinketItem;TrinketItem;Item;
Deep Swamp Stone Wall,ObjectItem;PlaceableItem;Item;
Zombie Spawn Item,MobSpawnItem;PlaceableItem;Item;
Abstract Painting,ObjectItem;PlaceableItem;Item;
Dirty Plate,ObjectItem;PlaceableItem;Item;
Sand Stone Caveling Painting,ObjectItem;PlaceableItem;Item;
Deep Stone Arrow Trap,ObjectItem;PlaceableItem;Item;
Wood Axe,CustomAxeToolItem;AxeToolItem;ToolDamageItem;ToolItem;Item;
Thorns Potion,ThornsPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Symphony of Twins Vinyl,VinylItem;Item;
Queen Spider's Dance Vinyl,VinylItem;Item;
Wig,WigArmorItem;HelmetArmorItem;ArmorItem;Item;
Locked Ancient Ruin Door,ObjectItem;PlaceableItem;Item;
Gateway Tablet,GatewayTabletItem;Item;
Calming Rose,SimpleTrinketItem;TrinketItem;Item;
Soldier's Helmet,SoldierHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Stuffed Pig,ObjectItem;PlaceableItem;Item;
Queen Bee,HoneyBeePlaceableItem;PlaceableItem;Item;
Space Boots,SpaceBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Health Regen Potion,HealthRegenPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Coconut Sapling,ObjectItem;PlaceableItem;Item;
Eggplant,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Nunchucks,NunchucksToolItem;SwordToolItem;ToolItem;Item;
Void Pouch,VoidPouchItem;CloudInventoryOpenItem;Item;
Razor Icicle,RazorIcicleQuestItem;QuestItem;Item;
Deep Sandstone,TileItem;PlaceableItem;Item;
Dryad Double Bed,ObjectItem;PlaceableItem;Item;
Mother Slime's Tremble Vinyl,VinylItem;Item;
Runebound Crown,RuneboundCrownArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Jester Hat,JesterHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Pirate Captain's Lair Vinyl,VinylItem;Item;
Bone Modular Table,ObjectItem;PlaceableItem;Item;
Blueberry Cake,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Vultures Burst,VulturesBurstProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Cactus,ObjectItem;PlaceableItem;Item;
Alchemist Glasses,AlchemistGlassesArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Wheat,GrainItem;FoodMatItem;MatItem;Item;
Pirate's Horizon Vinyl,VinylItem;Item;
GrindTheAlarms Vinyl,VinylItem;Item;
Deadwood Chest,ObjectItem;PlaceableItem;Item;
Slime Greatsword,SlimeGreatswordToolItem;GreatswordToolItem;SwordToolItem;ToolItem;Item;
Banana,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Plains Grass,TileItem;PlaceableItem;Item;
Tungsten Double Streetlamp,ObjectItem;PlaceableItem;Item;
Party Hat,PartyHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Birch Bed,ObjectItem;PlaceableItem;Item;
Stone Pressure Plate,ObjectItem;PlaceableItem;Item;
Copper Double Streetlamp,ObjectItem;PlaceableItem;Item;
Sapphire Gravel,TileItem;PlaceableItem;Item;
Locked Stone Door,ObjectItem;PlaceableItem;Item;
AND Gate,LogicGateItem;PlaceableItem;Item;
Ancient Feather,SimpleTrinketItem;TrinketItem;Item;
Captured Spirit,CapturedSpiritQuestItem;QuestItem;Item;
Oak Bench,ObjectItem;PlaceableItem;Item;
EyesOfTheDesert Vinyl,VinylItem;Item;
Roasting Station,CampfireAddonObjectItem;ObjectItem;PlaceableItem;Item;
Witch Broom,WitchBroomMountItem;MountItem;Item;
Mycelium Axe,CustomAxeToolItem;AxeToolItem;ToolDamageItem;ToolItem;Item;
Balanced Foci,SimpleTrinketItem;TrinketItem;Item;
Basalt Saw Trap,ObjectItem;PlaceableItem;Item;
Teleportation Stone,TeleportationStoneObjectItem;ObjectItem;PlaceableItem;Item;
Glacial Greatsword,GlacialGreatswordToolItem;GreatswordToolItem;SwordToolItem;ToolItem;Item;
Phantom Dust,MatItem;Item;
Steel Grey Carpet,ObjectItem;PlaceableItem;Item;
Scorpion Spawn Item,MobSpawnItem;PlaceableItem;Item;
Glacial Boots,GlacialBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Soldier's Cap,SoldierCapArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Runic Helmet,RunicHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Deep Snow Stone Door,ObjectItem;PlaceableItem;Item;
Ice,TileItem;PlaceableItem;Item;
Mud,TileItem;PlaceableItem;Item;
Wizard Socket,TrinketSlotsIncreaseItem;ChangeTrinketSlotsItem;ConsumableItem;PlaceableItem;Item;
Swamp Candle Stand,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Locked Palm Door,ObjectItem;PlaceableItem;Item;
Small Single Deep Sandstone Rock,ObjectItem;PlaceableItem;Item;
Obsidian Wall,ObjectItem;PlaceableItem;Item;
Crystal Chestplate,CrystalChestplate;ChestArmorItem;ArmorItem;Item;
Birch Sapling,ObjectItem;PlaceableItem;Item;
Chroma Key Tile - 0xffff00ff,TileItem;PlaceableItem;Item;
Landfill,LandfillItem;PlaceableItem;Item;
Sensor Gate,LogicGateItem;PlaceableItem;Item;
Deep Rock,TileItem;PlaceableItem;Item;
Deep Swamp Stone Flame Trap,ObjectItem;PlaceableItem;Item;
Oak Display,ObjectItem;PlaceableItem;Item;
Snow Stone Pressure Plate,ObjectItem;PlaceableItem;Item;
Counter Gate,LogicGateItem;PlaceableItem;Item;
Pure Topaz Cluster,ObjectItem;PlaceableItem;Item;
Swamp Rock,ObjectItem;PlaceableItem;Item;
Roasted Mutton,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
The Perfect Storm,PerfectStormSwordToolItem;SwordToolItem;ToolItem;Item;
Tiki Torch,ObjectItem;PlaceableItem;Item;
Slime Rock Upgrade Shard,ObjectItem;PlaceableItem;Item;
Sharpshooter Coat,SharpshooterCoatArmorItem;ChestArmorItem;ArmorItem;Item;
Raven Wall,ObjectItem;PlaceableItem;Item;
Wood Wall,ObjectItem;PlaceableItem;Item;
Potion Bag,PotionBag;PotionPouch;PouchItem;Item;
Surgical Mask,SurgicalMaskArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Scrambled Eggs,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Grizzly Cub,PetFollowerPlaceableItem;FollowerSummonPlaceableItem;PlaceableItem;Item;
Wild Sunflower,ObjectItem;PlaceableItem;Item;
Gobfish,FishItem;MatItem;Item;
Willow Bathtub,ObjectItem;PlaceableItem;Item;
Animal Keeper Spawn Item,MobSpawnItem;PlaceableItem;Item;
Blood Claw,BloodClawToolItem;SwordToolItem;ToolItem;Item;
Ancient Fossil Bar,MatItem;Item;
Glow Coral,ObjectItem;PlaceableItem;Item;
Mycelium Scarf,MyceliumScarfArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
SR Latch Gate,LogicGateItem;PlaceableItem;Item;
Sugar,FoodMatItem;MatItem;Item;
Elder Shirt,ElderShirtArmorItem;ChestArmorItem;ArmorItem;Item;
Ice Wall,ObjectItem;PlaceableItem;Item;
Spruce Toilet,ObjectItem;PlaceableItem;Item;
Palm Tree,ObjectItem;PlaceableItem;Item;
Mana Potion,ManaPotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Void Phasing Staff,VoidPhasingStaffTrinketItem;TrinketItem;Item;
Small Single Deep Snow Rock,ObjectItem;PlaceableItem;Item;
Pest Warden Spawn Item,MobSpawnItem;PlaceableItem;Item;
Dungeon Void Trap,ObjectItem;PlaceableItem;Item;
Rotten Fish Stew,ObjectItem;PlaceableItem;Item;
Deadwood Modular Table,ObjectItem;PlaceableItem;Item;
Deep Snow Rock Iron Ore,ObjectItem;PlaceableItem;Item;
Palm Dresser,ObjectItem;PlaceableItem;Item;
Reverse Damage Glyph Trap,ObjectItem;PlaceableItem;Item;
Parry Buckler,ParryBucklerShieldTrinketItem;ShieldTrinketItem;TrinketItem;Item;
Wall Window (Dusk Wall),ObjectItem;PlaceableItem;Item;
Wall Window (Ancient Ruin Wall),ObjectItem;PlaceableItem;Item;
NOT_OBTAINABLE: Golden Web Weaver,GoldenWebWeaverToolItem;WebWeaverToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Pirate Banner,ObjectItem;PlaceableItem;Item;
Deep Snow Rock Life Quartz,ObjectItem;PlaceableItem;Item;
Spiderkin Spawn Item,MobSpawnItem;PlaceableItem;Item;
Tall Swamp Grass,ObjectItem;PlaceableItem;Item;
Basalt Torch,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Oak Double Bed,ObjectItem;PlaceableItem;Item;
Night Razor,NightRazorBoomerangToolItem;BoomerangToolItem;ThrowToolItem;ProjectileToolItem;ToolItem;Item;
Quartz Greatsword,QuartzGreatswordToolItem;GreatswordToolItem;SwordToolItem;ToolItem;Item;
Fishian Healer Spawn Item,MobSpawnItem;PlaceableItem;Item;
Rope,RopeItem;Item;
Bamboo Bathtub,ObjectItem;PlaceableItem;Item;
Frost Flame,SimpleTrinketItem;TrinketItem;Item;
Awakening Twilight Strings Vinyl,VinylItem;Item;
Copper Chestplate,CopperChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Hand Cannon,HandCannonProjectileToolItem;GunProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Crypt Stone,StonePlaceableItem;PlaceableItem;Item;
Pine Candelabra,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Bouncing Bullet,BouncingBulletItem;BulletItem;Item;
Hunter Shirt,HunterShirtArmorItem;ChestArmorItem;ArmorItem;Item;
Void Staff,VoidStaffProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Copper Shovel,CustomShovelToolItem;ShovelToolItem;ToolDamageItem;ToolItem;Item;
Slime Eggs,MotherSlimeSpawnItem;ConsumableItem;PlaceableItem;Item;
Pirate Parrot Spawn Item,MobSpawnItem;PlaceableItem;Item;
Raven Feather,MatItem;Item;
Void Vessel,ObjectItem;PlaceableItem;Item;
Stylist Shoes,StylistShoesArmorItem;BootsArmorItem;ArmorItem;Item;
Sign,ObjectItem;PlaceableItem;Item;
fishinghold,FishingPoleHolding;Item;
Thief's Cowl,ThiefsCowlArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Deep Stone Tiled Floor,TileItem;PlaceableItem;Item;
Birch Candelabra,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Bar Shelf,ObjectItem;PlaceableItem;Item;
-1 trinket slots,TestChangeTrinketSlotsItem;ConsumableItem;PlaceableItem;Item;
Dark Moon Path,TileItem;PlaceableItem;Item;
Knockback Potion,KnockbackPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Hooded Knight Statue,ObjectItem;PlaceableItem;Item;
Iron Fishing Rod,FishingRodItem;PlaceableItem;Item;
Bashy Bush,BashyBushSummonToolItem;SummonToolItem;ToolItem;Item;
Mage Robe,MageRobeArmorItem;ChestArmorItem;ArmorItem;Item;
Gemstone Longsword,GemstoneLongswordToolItem;SwordToolItem;ToolItem;Item;
Ascended Void,TileItem;PlaceableItem;Item;
Palm Bench,ObjectItem;PlaceableItem;Item;
Steel Boat,SteelBoatMountItem;MountItem;Item;
Stabby Bush Spawn Item,MobSpawnItem;PlaceableItem;Item;
Arcanic Path,TileItem;PlaceableItem;Item;
Utensil Rack,ObjectItem;PlaceableItem;Item;
Dryad Door,ObjectItem;PlaceableItem;Item;
Item Attractor,SimpleTrinketItem;TrinketItem;Item;
Alchemy Table,ObjectItem;PlaceableItem;Item;
Empress' Command,EmpressCommandToolItem;SummonToolItem;ToolItem;Item;
Zombie Archer Spawn Item,MobSpawnItem;PlaceableItem;Item;
Maple Bathtub,ObjectItem;PlaceableItem;Item;
Obsidian Flame Trap,ObjectItem;PlaceableItem;Item;
Deep Fried Chicken,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Rice Seeds,SeedObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Jester Shirt,JesterShirtArmorItem;ChestArmorItem;ArmorItem;Item;
Ivy Bow,IvyBowProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Halodrome Vinyl,VinylItem;Item;
Eggcellent Banner,ObjectItem;PlaceableItem;Item;
Iron Pickaxe,CustomPickaxeToolItem;PickaxeToolItem;ToolDamageItem;ToolItem;Item;
Small Single Basalt Rock,ObjectItem;PlaceableItem;Item;
Ancient Fossil Ore,MatItem;Item;
Deep Rock,ObjectItem;PlaceableItem;Item;
Ascended Bow,AscendedBowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Curious Beet,ObjectItem;PlaceableItem;Item;
Regen Pendant,SimpleTrinketItem;TrinketItem;Item;
Eggplant Seeds,SeedObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Upgrade Shard,MatItem;Item;
Mana Regen Potion,ManaRegenPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Swarm Signal,NightSwarmSpawnItem;ConsumableItem;PlaceableItem;Item;
Arcanic Wall,ObjectItem;PlaceableItem;Item;
Goblin Ring,GoblinRingQuestItem;QuestItem;Item;
Experimental Root,ObjectItem;PlaceableItem;Item;
Frozen Dwarf Spawn Item,MobSpawnItem;PlaceableItem;Item;
Static Jellyfish Spawn Item,MobSpawnItem;PlaceableItem;Item;
Night in the Dunes Vinyl,VinylItem;Item;
The Raven's Nest,TheRavensNestProjectileToolItem;GreatbowProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Vampiric Lamp,VampiricLampProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Mummy's Bandage,MummysBandageQuestItem;QuestItem;Item;
Deadwood Clock,ObjectItem;PlaceableItem;Item;
Living Shotty,LivingShottyProjectileToolItem;GunProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Wheat Seeds,SeedObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Mycelium Shovel,CustomShovelToolItem;ShovelToolItem;ToolDamageItem;ToolItem;Item;
Bloodstains,ObjectItem;PlaceableItem;Item;
Wood Pickaxe,CustomPickaxeToolItem;PickaxeToolItem;ToolDamageItem;ToolItem;Item;
Pine Wall,ObjectItem;PlaceableItem;Item;
Mycelium Boots,MyceliumBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Nightsteel Mask,NightsteelMaskArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Nightsteel Chestplate,NightsteelChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Dawn Path,TileItem;PlaceableItem;Item;
Swamp Hedge,ObjectItem;PlaceableItem;Item;
Stone Candle Pedestal,ObjectItem;PlaceableItem;Item;
Seed Pouch,SeedPouch;PouchItem;Item;
Pine Bathtub,ObjectItem;PlaceableItem;Item;
Slime Greatbow,SlimeGreatbowProjectileToolItem;GreatbowProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Granite Arrow Trap,ObjectItem;PlaceableItem;Item;
Chain Shirt,SimpleTrinketItem;TrinketItem;Item;
Farmer Hat,FarmerHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Buffer Gate,LogicGateItem;PlaceableItem;Item;
Caveglow Glass Display,ObjectItem;PlaceableItem;Item;
Bark Blade,BarkBladeSwordToolItem;SwordToolItem;ToolItem;Item;
Chroma Key Tile - 0xff0000ff,TileItem;PlaceableItem;Item;
Human Raider Spawn Item,MobSpawnItem;PlaceableItem;Item;
Iron Arrow,IronArrowItem;ArrowItem;Item;
Gelatin Casings,SimpleTrinketItem;TrinketItem;Item;
Venom Staff,VenomStaffProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Dress Shoes,DressShoesArmorItem;BootsArmorItem;ArmorItem;Item;
Deadwood Candles,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Slimy Launcher,SlimyLauncherQuestItem;QuestItem;Item;
Deadwood Bed,ObjectItem;PlaceableItem;Item;
Ice Saw Trap,ObjectItem;PlaceableItem;Item;
Quartz Pickaxe,CustomPickaxeToolItem;PickaxeToolItem;ToolDamageItem;ToolItem;Item;
Apple Sapling,ObjectItem;PlaceableItem;Item;
Wall Torch,ObjectItem;PlaceableItem;Item;
Zephyr Charm,SimpleTrinketItem;TrinketItem;Item;
Blazer,BlazerArmorItem;ChestArmorItem;ArmorItem;Item;
Dungeon Candelabra,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Crate,ObjectItem;PlaceableItem;Item;
Crazed Raven Spawn Item,MobSpawnItem;PlaceableItem;Item;
Iron Fence Gate,ObjectItem;PlaceableItem;Item;
Timer Gate,LogicGateItem;PlaceableItem;Item;
Antique Rifle,AntiqueRifleProjectileToolItem;GunProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Mycelium Hood,MyceliumHoodArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Farmland,TileItem;PlaceableItem;Item;
Old Chalices,ObjectItem;PlaceableItem;Item;
Magical Quiver,SimpleTrinketItem;TrinketItem;Item;
Deep Swamp Stone Door,ObjectItem;PlaceableItem;Item;
Cryo Witch Robe,CryoWitchRobeArmorItem;ChestArmorItem;ArmorItem;Item;
Explorer Spawn Item,MobSpawnItem;PlaceableItem;Item;
Battle Potion,BattlePotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Thiefs's Cloak,ThiefsCloakArmorItem;ChestArmorItem;ArmorItem;Item;
Mossy Stepping Stones,ObjectItem;PlaceableItem;Item;
Dragon's Hoard Vinyl,VinylItem;Item;
Depths Of The Forest Strings Vinyl,VinylItem;Item;
Sandstone Door,ObjectItem;PlaceableItem;Item;
Crystal Alchemy Shard,ObjectItem;PlaceableItem;Item;
Roasted Fish,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Snow Stone Brick Floor,TileItem;PlaceableItem;Item;
Dungeon Door,ObjectItem;PlaceableItem;Item;
Granite Floor,TileItem;PlaceableItem;Item;
Delay Gate,LogicGateItem;PlaceableItem;Item;
Cappuccino,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Spider Castle Carpet,TileItem;PlaceableItem;Item;
Locked Dawn Door,ObjectItem;PlaceableItem;Item;
Empty Raven Nest,ObjectItem;PlaceableItem;Item;
Wall Window (Sandstone Wall),ObjectItem;PlaceableItem;Item;
Plate,ObjectItem;PlaceableItem;Item;
Cryo Flake Spawn Item,MobSpawnItem;PlaceableItem;Item;
Gold Streetlamp,ObjectItem;PlaceableItem;Item;
Pumpkin,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
